batting_team,bowling_team,city,target_score,current_score,balls_left,wickets_left,crr,rrr,toss_winner,toss_decision,powerplay,recent_performance,result
Delhi Capitals,Gujarat Titans,Lucknow,195,132,28,5,8.61,13.5,Gujarat Titans,field,0,37,0
Kolkata Knight Riders,Mumbai Indians,Chennai,172,64,77,8,8.93,8.42,Mumbai Indians,bat,0,58,1
Sunrisers Hyderabad,Kolkata Knight Riders,Ahmedabad,207,146,20,10,8.76,18.3,Kolkata Knight Riders,bat,0,56,1
Chennai Super Kings,Punjab Kings,Jaipur,179,126,38,8,9.22,8.37,Punjab Kings,bat,0,41,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,199,84,55,10,7.75,12.55,Sunrisers Hyderabad,field,0,29,1
Mumbai Indians,Delhi Capitals,Hyderabad,153,63,54,4,5.73,10.0,Delhi Capitals,field,0,51,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata,175,100,41,2,7.59,10.98,Sunrisers Hyderabad,bat,0,63,0
Lucknow Super Giants,Royal Challengers Bangalore,Chandigarh,203,58,86,10,10.24,10.12,Royal Challengers Bangalore,bat,1,34,1
Rajasthan Royals,Punjab Kings,Kolkata,228,88,60,6,8.8,14.0,Punjab Kings,field,0,29,1
Chennai Super Kings,Punjab Kings,Mumbai,153,120,33,6,8.28,6.0,Punjab Kings,bat,0,39,1
Gujarat Titans,Royal Challengers Bangalore,Jaipur,206,203,14,2,11.49,1.29,Gujarat Titans,bat,0,38,1
Chennai Super Kings,Kolkata Knight Riders,Chennai,217,125,41,8,9.49,13.46,Kolkata Knight Riders,field,0,43,1
Royal Challengers Bangalore,Chennai Super Kings,Chandigarh,223,222,8,4,11.89,0.75,Chennai Super Kings,bat,0,28,1
Sunrisers Hyderabad,Lucknow Super Giants,Jaipur,220,89,79,8,13.02,9.95,Lucknow Super Giants,field,0,44,1
Mumbai Indians,Delhi Capitals,Delhi,219,53,90,10,10.6,11.07,Delhi Capitals,field,1,38,1
Chennai Super Kings,Mumbai Indians,Jaipur,168,113,10,7,6.16,33.0,Chennai Super Kings,field,0,64,0
Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai,163,39,83,6,6.32,8.96,Kolkata Knight Riders,bat,0,33,1
Royal Challengers Bangalore,Delhi Capitals,Jaipur,174,42,82,10,6.63,9.66,Delhi Capitals,field,0,42,1
Delhi Capitals,Sunrisers Hyderabad,Chandigarh,189,45,84,10,7.5,10.29,Sunrisers Hyderabad,field,0,43,1
Delhi Capitals,Rajasthan Royals,Chandigarh,147,146,16,10,8.42,0.38,Delhi Capitals,bat,0,33,1
Lucknow Super Giants,Punjab Kings,Chandigarh,173,105,42,3,8.08,9.71,Punjab Kings,bat,0,56,1
Chennai Super Kings,Rajasthan Royals,Mumbai,189,164,9,10,8.86,16.67,Rajasthan Royals,field,0,35,1
Lucknow Super Giants,Chennai Super Kings,Bangalore,162,76,59,4,7.48,8.75,Lucknow Super Giants,bat,0,50,1
Chennai Super Kings,Sunrisers Hyderabad,Delhi,145,97,29,9,6.4,9.93,Chennai Super Kings,bat,0,49,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,141,100,45,2,8.0,5.47,Punjab Kings,bat,0,63,1
Delhi Capitals,Rajasthan Royals,Kolkata,164,112,12,8,6.22,26.0,Rajasthan Royals,bat,0,57,0
Chennai Super Kings,Rajasthan Royals,Kolkata,166,107,54,4,9.73,6.56,Rajasthan Royals,bat,0,39,1
Gujarat Titans,Chennai Super Kings,Chandigarh,179,129,37,10,9.33,8.11,Gujarat Titans,field,0,56,1
Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai,164,74,72,6,9.25,7.5,Kolkata Knight Riders,bat,0,32,1
Rajasthan Royals,Chennai Super Kings,Chandigarh,150,102,11,9,5.61,26.18,Rajasthan Royals,bat,0,27,0
Delhi Capitals,Lucknow Super Giants,Chennai,165,119,38,5,8.71,7.26,Lucknow Super Giants,bat,0,43,1
Kolkata Knight Riders,Delhi Capitals,Chandigarh,148,142,8,4,7.61,4.5,Kolkata Knight Riders,field,0,51,1
Lucknow Super Giants,Chennai Super Kings,Hyderabad,189,118,29,6,7.78,14.69,Lucknow Super Giants,bat,0,59,1
Punjab Kings,Lucknow Super Giants,Chandigarh,198,130,37,10,9.4,11.03,Lucknow Super Giants,bat,0,44,1
Mumbai Indians,Sunrisers Hyderabad,Delhi,202,63,84,7,10.5,9.93,Sunrisers Hyderabad,bat,0,53,1
Lucknow Super Giants,Delhi Capitals,Mumbai,173,44,84,9,7.33,9.21,Delhi Capitals,field,0,44,1
Lucknow Super Giants,Delhi Capitals,Chennai,149,44,75,5,5.87,8.4,Lucknow Super Giants,bat,0,44,1
Lucknow Super Giants,Gujarat Titans,Kolkata,147,71,67,7,8.04,6.81,Lucknow Super Giants,field,0,40,1
Gujarat Titans,Lucknow Super Giants,Hyderabad,197,121,26,2,7.72,17.54,Lucknow Super Giants,field,0,60,0
Lucknow Super Giants,Gujarat Titans,Ahmedabad,213,114,65,7,12.44,9.14,Lucknow Super Giants,field,0,55,1
Kolkata Knight Riders,Punjab Kings,Jaipur,215,133,18,9,7.82,27.33,Punjab Kings,field,0,44,0
Gujarat Titans,Delhi Capitals,Bangalore,216,187,27,1,12.06,6.44,Delhi Capitals,field,0,38,1
Gujarat Titans,Royal Challengers Bangalore,Kolkata,222,103,51,5,8.96,14.0,Gujarat Titans,bat,0,49,0
Lucknow Super Giants,Punjab Kings,Chennai,153,71,52,5,6.26,9.46,Punjab Kings,field,0,60,1
Punjab Kings,Rajasthan Royals,Lucknow,227,139,37,4,10.05,14.27,Rajasthan Royals,bat,0,26,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,154,102,32,9,6.95,9.75,Kolkata Knight Riders,field,0,29,1
Royal Challengers Bangalore,Mumbai Indians,Chennai,144,87,56,10,8.16,6.11,Mumbai Indians,field,0,54,1
Punjab Kings,Gujarat Titans,Chennai,202,142,22,8,8.69,16.36,Gujarat Titans,bat,0,56,1
Gujarat Titans,Royal Challengers Bangalore,Ahmedabad,163,68,52,8,6.0,10.96,Gujarat Titans,field,0,62,1
Delhi Capitals,Sunrisers Hyderabad,Lucknow,177,96,36,6,6.86,13.5,Delhi Capitals,bat,0,64,1
Punjab Kings,Mumbai Indians,Delhi,209,147,27,9,9.48,13.78,Mumbai Indians,bat,0,44,1
Lucknow Super Giants,Sunrisers Hyderabad,Bangalore,160,34,87,9,6.18,8.69,Lucknow Super Giants,bat,1,34,1
Rajasthan Royals,Delhi Capitals,Kolkata,200,150,20,3,9.0,15.0,Delhi Capitals,bat,0,50,1
Kolkata Knight Riders,Mumbai Indians,Lucknow,205,154,34,7,10.74,9.0,Kolkata Knight Riders,field,0,34,1
Mumbai Indians,Gujarat Titans,Chennai,211,145,22,7,8.88,18.0,Mumbai Indians,field,0,42,1
Lucknow Super Giants,Chennai Super Kings,Mumbai,154,53,71,8,6.49,8.54,Chennai Super Kings,field,0,33,1
Lucknow Super Giants,Chennai Super Kings,Hyderabad,205,131,54,5,11.91,8.22,Chennai Super Kings,field,0,40,1
Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,211,68,76,9,9.27,11.29,Lucknow Super Giants,bat,0,50,1
Rajasthan Royals,Mumbai Indians,Lucknow,183,84,54,8,7.64,11.0,Rajasthan Royals,field,0,50,1
Royal Challengers Bangalore,Punjab Kings,Ahmedabad,189,135,25,6,8.53,12.96,Royal Challengers Bangalore,bat,0,60,1
Lucknow Super Giants,Royal Challengers Bangalore,Delhi,163,131,8,2,7.02,24.0,Lucknow Super Giants,bat,0,56,0
Lucknow Super Giants,Gujarat Titans,Delhi,161,88,45,5,7.04,9.73,Lucknow Super Giants,field,0,28,1
Gujarat Titans,Mumbai Indians,Hyderabad,206,108,45,6,8.64,13.07,Mumbai Indians,bat,0,52,1
Delhi Capitals,Lucknow Super Giants,Delhi,156,130,17,6,7.57,9.18,Delhi Capitals,bat,0,41,1
Punjab Kings,Lucknow Super Giants,Bangalore,196,112,29,5,7.38,17.38,Lucknow Super Giants,bat,0,58,1
Chennai Super Kings,Delhi Capitals,Chandigarh,219,155,27,7,10.0,14.22,Chennai Super Kings,bat,0,52,1
Rajasthan Royals,Gujarat Titans,Jaipur,209,73,84,6,12.17,9.71,Rajasthan Royals,field,0,58,1
Chennai Super Kings,Sunrisers Hyderabad,Lucknow,152,65,67,10,7.36,7.79,Sunrisers Hyderabad,field,0,55,1
Lucknow Super Giants,Rajasthan Royals,Chandigarh,186,91,54,8,8.27,10.56,Lucknow Super Giants,field,0,35,1
Chennai Super Kings,Lucknow Super Giants,Kolkata,155,120,21,6,7.27,10.0,Chennai Super Kings,bat,0,29,1
Mumbai Indians,Rajasthan Royals,Chennai,191,183,6,10,9.63,8.0,Rajasthan Royals,bat,0,40,1
Punjab Kings,Rajasthan Royals,Lucknow,154,147,24,1,9.19,1.75,Rajasthan Royals,bat,0,49,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Lucknow,170,90,60,7,9.0,8.0,Sunrisers Hyderabad,field,0,45,1
Delhi Capitals,Sunrisers Hyderabad,Chennai,168,104,20,3,6.24,19.2,Sunrisers Hyderabad,field,0,39,0
Gujarat Titans,Kolkata Knight Riders,Bangalore,169,46,75,8,6.13,9.84,Kolkata Knight Riders,bat,0,46,1
Lucknow Super Giants,Chennai Super Kings,Chennai,194,81,64,4,8.68,10.59,Lucknow Super Giants,bat,0,26,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,211,116,45,5,9.28,12.67,Kolkata Knight Riders,bat,0,55,1
Royal Challengers Bangalore,Punjab Kings,Chandigarh,200,124,19,2,7.37,24.0,Punjab Kings,bat,0,56,0
Gujarat Titans,Rajasthan Royals,Lucknow,228,174,8,1,9.32,40.5,Rajasthan Royals,bat,0,30,0
Delhi Capitals,Gujarat Titans,Bangalore,217,147,32,7,10.02,13.12,Delhi Capitals,field,0,51,1
Rajasthan Royals,Sunrisers Hyderabad,Kolkata,205,69,81,6,10.62,10.07,Sunrisers Hyderabad,field,0,45,1
Gujarat Titans,Royal Challengers Bangalore,Chennai,194,168,28,9,10.96,5.57,Gujarat Titans,bat,0,25,1
Mumbai Indians,Lucknow Super Giants,Jaipur,163,83,63,10,8.74,7.62,Lucknow Super Giants,field,0,52,1
Delhi Capitals,Sunrisers Hyderabad,Chennai,178,58,71,6,7.1,10.14,Sunrisers Hyderabad,bat,0,52,1
Kolkata Knight Riders,Gujarat Titans,Jaipur,195,125,32,7,8.52,13.12,Gujarat Titans,bat,0,35,1
Royal Challengers Bangalore,Kolkata Knight Riders,Chandigarh,141,101,28,3,6.59,8.57,Kolkata Knight Riders,bat,0,32,1
Gujarat Titans,Kolkata Knight Riders,Lucknow,226,99,72,9,12.38,10.58,Kolkata Knight Riders,bat,0,34,1
Mumbai Indians,Punjab Kings,Jaipur,141,37,79,10,5.41,7.9,Mumbai Indians,field,0,37,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,175,129,45,8,10.32,6.13,Kolkata Knight Riders,bat,0,27,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,205,115,45,8,9.2,12.0,Sunrisers Hyderabad,field,0,39,1
Punjab Kings,Delhi Capitals,Jaipur,175,63,74,10,8.22,9.08,Delhi Capitals,bat,0,33,1
Gujarat Titans,Chennai Super Kings,Chandigarh,196,62,67,7,7.02,12.0,Gujarat Titans,bat,0,38,1
Rajasthan Royals,Chennai Super Kings,Mumbai,226,58,89,9,11.23,11.33,Chennai Super Kings,field,1,51,1
Rajasthan Royals,Lucknow Super Giants,Ahmedabad,193,161,18,8,9.47,10.67,Rajasthan Royals,field,0,55,1
Gujarat Titans,Royal Challengers Bangalore,Lucknow,176,175,7,7,9.29,0.86,Royal Challengers Bangalore,bat,0,64,1
Punjab Kings,Gujarat Titans,Bangalore,203,161,8,2,8.62,31.5,Gujarat Titans,bat,0,54,0
Rajasthan Royals,Lucknow Super Giants,Ahmedabad,163,67,75,10,8.93,7.68,Lucknow Super Giants,bat,0,33,1
Lucknow Super Giants,Kolkata Knight Riders,Chandigarh,188,108,49,9,9.13,9.8,Lucknow Super Giants,field,0,37,1
Royal Challengers Bangalore,Rajasthan Royals,Ahmedabad,160,36,85,7,6.17,8.75,Rajasthan Royals,bat,1,36,1
Delhi Capitals,Chennai Super Kings,Ahmedabad,210,82,66,4,9.11,11.64,Delhi Capitals,field,0,37,0
Rajasthan Royals,Gujarat Titans,Bangalore,182,126,18,6,7.41,18.67,Rajasthan Royals,field,0,30,1
Royal Challengers Bangalore,Kolkata Knight Riders,Chennai,191,190,8,7,10.18,0.75,Kolkata Knight Riders,field,0,57,1
Rajasthan Royals,Chennai Super Kings,Chennai,164,42,77,10,5.86,9.51,Rajasthan Royals,field,0,42,1
Kolkata Knight Riders,Royal Challengers Bangalore,Chandigarh,175,78,70,6,9.36,8.31,Kolkata Knight Riders,bat,0,31,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,145,93,49,7,7.86,6.37,Mumbai Indians,field,0,30,1
Rajasthan Royals,Delhi Capitals,Ahmedabad,194,161,19,2,9.56,10.42,Delhi Capitals,bat,0,25,0
Punjab Kings,Mumbai Indians,Kolkata,222,185,35,10,13.06,6.34,Mumbai Indians,field,0,29,1
Chennai Super Kings,Gujarat Titans,Mumbai,209,148,28,8,9.65,13.07,Gujarat Titans,bat,0,34,1
Gujarat Titans,Royal Challengers Bangalore,Ahmedabad,218,161,41,4,12.23,8.34,Gujarat Titans,bat,0,27,1
Royal Challengers Bangalore,Kolkata Knight Riders,Lucknow,155,47,84,7,7.83,7.71,Kolkata Knight Riders,field,0,47,1
Punjab Kings,Rajasthan Royals,Kolkata,151,68,66,8,7.56,7.55,Rajasthan Royals,field,0,48,1
Sunrisers Hyderabad,Lucknow Super Giants,Jaipur,220,118,41,9,8.96,14.93,Sunrisers Hyderabad,bat,0,43,1
Rajasthan Royals,Delhi Capitals,Bangalore,173,53,89,7,10.26,8.09,Rajasthan Royals,bat,1,47,1
Chennai Super Kings,Gujarat Titans,Kolkata,179,86,64,9,9.21,8.72,Gujarat Titans,field,0,61,1
Sunrisers Hyderabad,Lucknow Super Giants,Bangalore,162,102,49,7,8.62,7.35,Lucknow Super Giants,bat,0,38,1
Kolkata Knight Riders,Gujarat Titans,Mumbai,198,197,6,3,10.37,1.0,Gujarat Titans,bat,0,35,1
Gujarat Titans,Delhi Capitals,Mumbai,143,90,55,10,8.31,5.78,Delhi Capitals,bat,0,48,1
Lucknow Super Giants,Sunrisers Hyderabad,Jaipur,183,94,57,5,8.95,9.37,Lucknow Super Giants,bat,0,56,1
Delhi Capitals,Gujarat Titans,Kolkata,170,140,20,1,8.4,9.0,Delhi Capitals,bat,0,59,0
Mumbai Indians,Delhi Capitals,Bangalore,176,55,76,6,7.5,9.55,Delhi Capitals,bat,0,42,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Chandigarh,205,190,9,2,10.27,10.0,Royal Challengers Bangalore,field,0,61,0
Mumbai Indians,Chennai Super Kings,Kolkata,176,116,46,3,9.41,7.83,Chennai Super Kings,bat,0,31,1
Chennai Super Kings,Rajasthan Royals,Delhi,141,92,44,10,7.26,6.68,Rajasthan Royals,field,0,47,1
Royal Challengers Bangalore,Rajasthan Royals,Mumbai,208,121,27,3,7.81,19.33,Rajasthan Royals,field,0,42,0
Mumbai Indians,Royal Challengers Bangalore,Kolkata,226,204,9,3,11.03,14.67,Royal Challengers Bangalore,bat,0,38,1
Gujarat Titans,Lucknow Super Giants,Ahmedabad,206,109,57,5,10.38,10.21,Gujarat Titans,field,0,33,1
Chennai Super Kings,Gujarat Titans,Chennai,192,68,72,7,8.5,10.33,Chennai Super Kings,bat,0,37,1
Punjab Kings,Mumbai Indians,Hyderabad,206,67,65,6,7.31,12.83,Punjab Kings,bat,0,57,1
Delhi Capitals,Chennai Super Kings,Kolkata,200,148,45,4,11.84,6.93,Chennai Super Kings,bat,0,50,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,200,116,62,5,12.0,8.13,Rajasthan Royals,field,0,42,1
Sunrisers Hyderabad,Kolkata Knight Riders,Chandigarh,228,78,74,5,10.17,12.16,Sunrisers Hyderabad,bat,0,42,1
Kolkata Knight Riders,Royal Challengers Bangalore,Delhi,149,140,10,2,7.64,5.4,Royal Challengers Bangalore,field,0,56,1
Delhi Capitals,Kolkata Knight Riders,Ahmedabad,208,202,17,10,11.77,2.12,Delhi Capitals,bat,0,27,1
Lucknow Super Giants,Mumbai Indians,Ahmedabad,207,169,28,8,11.02,8.14,Lucknow Super Giants,field,0,36,1
Kolkata Knight Riders,Gujarat Titans,Hyderabad,214,172,8,1,9.21,31.5,Kolkata Knight Riders,bat,0,37,0
Lucknow Super Giants,Punjab Kings,Lucknow,207,161,21,10,9.76,13.14,Punjab Kings,field,0,57,1
Delhi Capitals,Gujarat Titans,Hyderabad,193,68,71,6,8.33,10.56,Delhi Capitals,bat,0,59,1
Gujarat Titans,Mumbai Indians,Ahmedabad,215,115,53,10,10.3,11.32,Gujarat Titans,bat,0,44,1
Gujarat Titans,Punjab Kings,Hyderabad,189,71,68,9,8.19,10.41,Punjab Kings,bat,0,27,1
Lucknow Super Giants,Mumbai Indians,Kolkata,210,134,47,2,11.01,9.7,Lucknow Super Giants,bat,0,57,1
Royal Challengers Bangalore,Delhi Capitals,Jaipur,163,152,15,2,8.69,4.4,Delhi Capitals,field,0,46,1
Delhi Capitals,Chennai Super Kings,Kolkata,142,84,39,3,6.22,8.92,Delhi Capitals,bat,0,43,1
Kolkata Knight Riders,Mumbai Indians,Bangalore,192,39,88,7,7.31,10.43,Kolkata Knight Riders,field,1,39,1
Gujarat Titans,Mumbai Indians,Chandigarh,159,107,44,8,8.45,7.09,Gujarat Titans,field,0,61,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,157,73,66,6,8.11,7.64,Kolkata Knight Riders,field,0,33,1
Gujarat Titans,Lucknow Super Giants,Ahmedabad,220,89,74,9,11.61,10.62,Gujarat Titans,bat,0,60,1
Gujarat Titans,Rajasthan Royals,Lucknow,161,54,80,10,8.1,8.03,Gujarat Titans,bat,0,48,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,161,94,44,10,7.42,9.14,Kolkata Knight Riders,bat,0,63,1
Delhi Capitals,Rajasthan Royals,Bangalore,218,147,33,8,10.14,12.91,Rajasthan Royals,bat,0,30,1
Delhi Capitals,Mumbai Indians,Ahmedabad,228,120,49,4,10.14,13.22,Delhi Capitals,bat,0,58,0
Lucknow Super Giants,Rajasthan Royals,Kolkata,194,130,48,2,10.83,8.0,Lucknow Super Giants,bat,0,41,1
Chennai Super Kings,Mumbai Indians,Chandigarh,156,121,41,8,9.19,5.12,Chennai Super Kings,field,0,60,1
Mumbai Indians,Kolkata Knight Riders,Delhi,211,174,20,9,10.44,11.1,Mumbai Indians,bat,0,47,1
Kolkata Knight Riders,Gujarat Titans,Mumbai,205,65,67,9,7.36,12.54,Kolkata Knight Riders,bat,0,53,1
Punjab Kings,Chennai Super Kings,Bangalore,169,94,32,7,6.41,14.06,Punjab Kings,bat,0,62,1
Lucknow Super Giants,Sunrisers Hyderabad,Mumbai,156,90,48,9,7.5,8.25,Lucknow Super Giants,field,0,43,1
Delhi Capitals,Lucknow Super Giants,Chennai,189,89,63,5,9.37,9.52,Delhi Capitals,field,0,46,1
Chennai Super Kings,Punjab Kings,Chandigarh,204,69,85,8,11.83,9.53,Chennai Super Kings,field,1,41,1
Royal Challengers Bangalore,Chennai Super Kings,Hyderabad,173,129,22,10,7.9,12.0,Chennai Super Kings,bat,0,36,1
Lucknow Super Giants,Gujarat Titans,Mumbai,143,31,84,7,5.17,8.0,Gujarat Titans,bat,0,31,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,165,59,81,9,9.08,7.85,Rajasthan Royals,field,0,51,1
Chennai Super Kings,Mumbai Indians,Delhi,194,140,44,7,11.05,7.36,Chennai Super Kings,field,0,58,1
Royal Challengers Bangalore,Rajasthan Royals,Chennai,226,120,57,4,11.43,11.16,Royal Challengers Bangalore,field,0,41,1
Lucknow Super Giants,Sunrisers Hyderabad,Delhi,228,69,84,9,11.5,11.36,Lucknow Super Giants,field,0,54,1
Kolkata Knight Riders,Chennai Super Kings,Jaipur,156,91,32,7,6.2,12.19,Kolkata Knight Riders,field,0,56,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,158,107,39,2,7.93,7.85,Mumbai Indians,bat,0,47,1
Lucknow Super Giants,Delhi Capitals,Chandigarh,228,151,33,9,10.41,14.0,Lucknow Super Giants,bat,0,40,1
Lucknow Super Giants,Royal Challengers Bangalore,Hyderabad,150,35,90,9,7.0,7.67,Lucknow Super Giants,field,1,35,1
Sunrisers Hyderabad,Mumbai Indians,Kolkata,220,89,64,5,9.54,12.28,Mumbai Indians,field,0,46,1
Delhi Capitals,Rajasthan Royals,Kolkata,183,85,53,7,7.61,11.09,Delhi Capitals,bat,0,37,1
Kolkata Knight Riders,Delhi Capitals,Kolkata,160,84,45,3,6.72,10.13,Delhi Capitals,field,0,61,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,212,201,13,8,11.27,5.08,Sunrisers Hyderabad,field,0,59,1
Gujarat Titans,Chennai Super Kings,Mumbai,212,64,82,6,10.11,10.83,Gujarat Titans,field,0,56,1
Mumbai Indians,Delhi Capitals,Bangalore,224,105,69,10,12.35,10.35,Delhi Capitals,field,0,56,1
Rajasthan Royals,Chennai Super Kings,Chennai,161,160,9,10,8.65,0.67,Chennai Super Kings,field,0,45,1
Gujarat Titans,Kolkata Knight Riders,Chennai,219,138,44,6,10.89,11.05,Kolkata Knight Riders,field,0,43,1
Rajasthan Royals,Chennai Super Kings,Mumbai,153,89,28,7,5.8,13.71,Rajasthan Royals,field,0,34,1
Rajasthan Royals,Lucknow Super Giants,Ahmedabad,191,121,31,7,8.16,13.55,Lucknow Super Giants,field,0,39,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,149,67,50,4,5.74,9.84,Sunrisers Hyderabad,bat,0,45,0
Lucknow Super Giants,Chennai Super Kings,Bangalore,207,115,41,5,8.73,13.46,Lucknow Super Giants,bat,0,35,1
Chennai Super Kings,Mumbai Indians,Delhi,169,62,80,7,9.3,8.03,Mumbai Indians,bat,0,62,1
Lucknow Super Giants,Gujarat Titans,Ahmedabad,165,66,59,7,6.49,10.07,Lucknow Super Giants,field,0,59,1
Chennai Super Kings,Mumbai Indians,Chandigarh,168,101,60,5,10.1,6.7,Mumbai Indians,bat,0,45,1
Punjab Kings,Rajasthan Royals,Chennai,212,150,19,1,8.91,19.58,Punjab Kings,field,0,28,0
Punjab Kings,Lucknow Super Giants,Jaipur,228,56,90,9,11.2,11.47,Punjab Kings,field,1,56,1
Delhi Capitals,Mumbai Indians,Delhi,222,75,71,8,9.18,12.42,Delhi Capitals,bat,0,38,1
Gujarat Titans,Sunrisers Hyderabad,Kolkata,224,161,36,3,11.5,10.5,Sunrisers Hyderabad,field,0,39,1
Delhi Capitals,Gujarat Titans,Ahmedabad,190,121,45,4,9.68,9.2,Gujarat Titans,bat,0,29,1
Chennai Super Kings,Royal Challengers Bangalore,Mumbai,166,139,9,2,7.51,18.0,Royal Challengers Bangalore,field,0,59,0
Mumbai Indians,Chennai Super Kings,Kolkata,152,134,29,10,8.84,3.72,Chennai Super Kings,field,0,28,1
Kolkata Knight Riders,Sunrisers Hyderabad,Chandigarh,216,87,53,6,7.79,14.6,Sunrisers Hyderabad,field,0,33,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,226,122,56,10,11.44,11.14,Mumbai Indians,field,0,29,1
Mumbai Indians,Punjab Kings,Hyderabad,161,121,26,6,7.72,9.23,Punjab Kings,bat,0,45,1
Mumbai Indians,Sunrisers Hyderabad,Jaipur,150,67,74,6,8.74,6.73,Sunrisers Hyderabad,field,0,29,1
Chennai Super Kings,Gujarat Titans,Mumbai,172,99,38,3,7.24,11.53,Chennai Super Kings,bat,0,30,0
Lucknow Super Giants,Chennai Super Kings,Delhi,154,71,65,10,7.75,7.66,Chennai Super Kings,field,0,29,1
Punjab Kings,Kolkata Knight Riders,Jaipur,165,134,10,2,7.31,18.6,Kolkata Knight Riders,field,0,34,0
Royal Challengers Bangalore,Punjab Kings,Bangalore,219,127,24,2,7.94,23.0,Punjab Kings,bat,0,53,0
Delhi Capitals,Mumbai Indians,Mumbai,193,110,40,4,8.25,12.45,Delhi Capitals,bat,0,48,1
Sunrisers Hyderabad,Rajasthan Royals,Mumbai,194,129,34,1,9.0,11.47,Sunrisers Hyderabad,field,0,58,1
Delhi Capitals,Sunrisers Hyderabad,Chandigarh,178,81,61,6,8.24,9.54,Delhi Capitals,bat,0,43,1
Kolkata Knight Riders,Delhi Capitals,Mumbai,192,138,31,3,9.3,10.45,Delhi Capitals,field,0,38,1
Mumbai Indians,Punjab Kings,Mumbai,200,108,46,7,8.76,12.0,Punjab Kings,bat,0,63,1
Royal Challengers Bangalore,Lucknow Super Giants,Jaipur,200,118,21,4,7.15,23.43,Royal Challengers Bangalore,field,0,47,0
Rajasthan Royals,Kolkata Knight Riders,Chennai,211,68,68,6,7.85,12.62,Rajasthan Royals,field,0,32,1
Mumbai Indians,Punjab Kings,Delhi,150,93,39,2,6.89,8.77,Mumbai Indians,bat,0,26,0
Gujarat Titans,Chennai Super Kings,Lucknow,155,62,69,5,7.29,8.09,Chennai Super Kings,field,0,47,1
Mumbai Indians,Punjab Kings,Jaipur,201,109,30,1,7.27,18.4,Punjab Kings,bat,0,33,0
Mumbai Indians,Delhi Capitals,Kolkata,157,76,63,10,8.0,7.71,Delhi Capitals,bat,0,51,1
Rajasthan Royals,Gujarat Titans,Hyderabad,224,200,17,10,11.65,8.47,Rajasthan Royals,bat,0,63,1
Punjab Kings,Kolkata Knight Riders,Lucknow,215,214,8,7,11.46,0.75,Punjab Kings,bat,0,38,1
Lucknow Super Giants,Delhi Capitals,Lucknow,169,106,14,1,6.0,27.0,Lucknow Super Giants,bat,0,51,0
Gujarat Titans,Royal Challengers Bangalore,Lucknow,184,137,6,5,7.21,47.0,Royal Challengers Bangalore,field,0,48,0
Delhi Capitals,Mumbai Indians,Bangalore,168,60,81,7,9.23,8.0,Delhi Capitals,field,0,47,1
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,227,201,23,2,12.43,6.78,Delhi Capitals,field,0,55,1
Delhi Capitals,Sunrisers Hyderabad,Chandigarh,213,82,63,10,8.63,12.48,Sunrisers Hyderabad,field,0,45,1
Royal Challengers Bangalore,Rajasthan Royals,Mumbai,198,38,87,8,6.91,11.03,Rajasthan Royals,field,1,38,1
Chennai Super Kings,Mumbai Indians,Hyderabad,199,168,28,7,10.96,6.64,Chennai Super Kings,bat,0,32,1
Rajasthan Royals,Punjab Kings,Mumbai,146,60,59,9,5.9,8.75,Rajasthan Royals,field,0,56,1
Mumbai Indians,Chennai Super Kings,Bangalore,171,77,43,2,6.0,13.12,Chennai Super Kings,field,0,40,0
Mumbai Indians,Sunrisers Hyderabad,Kolkata,188,146,24,5,9.12,10.5,Mumbai Indians,field,0,37,1
Rajasthan Royals,Royal Challengers Bangalore,Mumbai,147,55,67,9,6.23,8.24,Rajasthan Royals,bat,0,55,1
Gujarat Titans,Delhi Capitals,Jaipur,140,54,57,4,5.14,9.05,Gujarat Titans,bat,0,39,1
Lucknow Super Giants,Gujarat Titans,Mumbai,191,42,89,10,8.13,10.04,Gujarat Titans,bat,1,42,1
Gujarat Titans,Kolkata Knight Riders,Lucknow,190,53,74,7,6.91,11.11,Gujarat Titans,field,0,53,1
Kolkata Knight Riders,Chennai Super Kings,Delhi,142,87,39,5,6.44,8.46,Chennai Super Kings,bat,0,38,1
